word0,word1,word2,word3,word4,word5,word6
beverage,alcohol,wine,red wine,Merlot,,
beverage,alcohol,wine,red wine,Rioja,,
beverage,alcohol,wine,red wine,zinfandel,,
beverage,alcohol,wine,white wine,Canary wine,,
beverage,alcohol,wine,white wine,Chablis,,
beverage,alcohol,wine,white wine,Montrachet,,
beverage,alcohol,wine,white wine,Chardonnay,,
beverage,alcohol,wine,white wine,Pinot blanc,,
beverage,alcohol,wine,white wine,Sauvignon blanc,,
beverage,alcohol,wine,white wine,Moselle,,
beverage,alcohol,wine,white wine,Muscadet,,
beverage,alcohol,wine,white wine,Rhine wine,Riesling,
beverage,alcohol,wine,white wine,Rhine wine,liebfraumilch,
beverage,alcohol,wine,white wine,sack,,
beverage,alcohol,wine,white wine,Soave,,
beverage,alcohol,wine,white wine,Sauterne,,
beverage,alcohol,wine,white wine,Chenin blanc,,
beverage,alcohol,wine,white wine,Verdicchio,,
beverage,alcohol,wine,white wine,Vouvray,,
beverage,alcohol,wine,white wine,Yquem,,
beverage,alcohol,wine,blush wine,,,
beverage,alcohol,wine,altar wine,,,
beverage,alcohol,wine,sparkling wine,champagne,,
beverage,alcohol,wine,sparkling wine,cold duck,,
beverage,alcohol,wine,Burgundy,Beaujolais,,
beverage,alcohol,wine,Burgundy,Chablis,,
beverage,alcohol,wine,Burgundy,Montrachet,,
beverage,alcohol,wine,Bordeaux,Medoc,,
beverage,alcohol,wine,Bordeaux,claret,Saint Emilion,
beverage,alcohol,wine,California wine,,,
beverage,alcohol,wine,Cotes de Provence,,,
beverage,alcohol,wine,dessert wine,straw wine,,
beverage,alcohol,wine,Dubonnet,,,
beverage,alcohol,wine,jug wine,,,
beverage,alcohol,wine,macon,,,
beverage,alcohol,wine,plonk,,,
beverage,alcohol,wine,retsina,,,
beverage,alcohol,wine,Rhone wine,,,
beverage,alcohol,wine,table wine,vin ordinaire,,
beverage,alcohol,wine,Tokay,,,
beverage,alcohol,wine,vermouth,sweet vermouth,,
beverage,alcohol,wine,vermouth,dry vermouth,,
beverage,alcohol,wine,generic,,,
beverage,alcohol,wine,varietal,,,
beverage,alcohol,wine,fortified wine,Madeira,malmsey,
beverage,alcohol,wine,fortified wine,port,,
beverage,alcohol,wine,fortified wine,sherry,Manzanilla,
beverage,alcohol,wine,fortified wine,sherry,Amontillado,
beverage,alcohol,wine,fortified wine,Marsala,,
beverage,alcohol,wine,fortified wine,muscat,,
beverage,alcohol,wine,mulled wine,bishop,,
beverage,alcohol,wine,mulled wine,negus,,
beverage,alcohol,liquor,aqua vitae,,,
beverage,alcohol,liquor,aquavit,,,
beverage,alcohol,liquor,arrack,,,
beverage,alcohol,liquor,bitters,,,
beverage,alcohol,liquor,brandy,eau de vie,,
beverage,alcohol,liquor,brandy,applejack,,
beverage,alcohol,liquor,brandy,Calvados,,
beverage,alcohol,liquor,brandy,Armagnac,,
beverage,alcohol,liquor,brandy,Cognac,,
beverage,alcohol,liquor,brandy,grappa,,
beverage,alcohol,liquor,brandy,kirsch,,
beverage,alcohol,liquor,brandy,marc,,
beverage,alcohol,liquor,brandy,slivovitz,,
beverage,alcohol,liquor,gin,bathtub gin,,
beverage,alcohol,liquor,gin,sloe gin,,
beverage,alcohol,liquor,gin,geneva,,
beverage,alcohol,liquor,ouzo,,,
beverage,alcohol,liquor,rum,grog,,
beverage,alcohol,liquor,rum,demerara,,
beverage,alcohol,liquor,rum,Jamaica rum,,
beverage,alcohol,liquor,schnapps,,,
beverage,alcohol,liquor,mescal,,,
beverage,alcohol,liquor,tequila,,,
beverage,alcohol,liquor,vodka,,,
beverage,alcohol,liquor,whiskey,blended whiskey,,
beverage,alcohol,liquor,whiskey,bourbon,,
beverage,alcohol,liquor,whiskey,corn whiskey,moonshine,
beverage,alcohol,liquor,whiskey,Irish,poteen,
beverage,alcohol,liquor,whiskey,rye,,
beverage,alcohol,liquor,whiskey,Scotch,Drambuie,
beverage,alcohol,liquor,whiskey,sour mash,,
beverage,alcohol,liquor,firewater,,,
beverage,alcohol,liquor,lacing,,,
beverage,alcohol,neutral spirits,,,,
beverage,alcohol,pulque,,,,
beverage,alcohol,liqueur,absinth,,,
beverage,alcohol,liqueur,amaretto,,,
beverage,alcohol,liqueur,anisette,,,
beverage,alcohol,liqueur,benedictine,,,
beverage,alcohol,liqueur,Chartreuse,,,
beverage,alcohol,liqueur,coffee liqueur,Kahlua,,
beverage,alcohol,liqueur,creme de cacao,,,
beverage,alcohol,liqueur,creme de menthe,,,
beverage,alcohol,liqueur,creme de fraise,,,
beverage,alcohol,liqueur,Drambuie,,,
beverage,alcohol,liqueur,Galliano,,,
beverage,alcohol,liqueur,orange liqueur,curacao,,
beverage,alcohol,liqueur,orange liqueur,triple sec,,
beverage,alcohol,liqueur,orange liqueur,Grand Marnier,,
beverage,alcohol,liqueur,kummel,,,
beverage,alcohol,liqueur,maraschino,,,
beverage,alcohol,liqueur,pastis,,,
beverage,alcohol,liqueur,Pernod,,,
beverage,alcohol,liqueur,pousse-cafe,,,
beverage,alcohol,liqueur,ratafia,,,
beverage,alcohol,liqueur,sambuca,,,
beverage,alcohol,mixed drink,cocktail,Bloody Mary,Virgin Mary,
beverage,alcohol,mixed drink,cocktail,bullshot,,
beverage,alcohol,mixed drink,cocktail,daiquiri,strawberry daiquiri,
beverage,alcohol,mixed drink,cocktail,daiquiri,NADA daiquiri,
beverage,alcohol,mixed drink,cocktail,gimlet,,
beverage,alcohol,mixed drink,cocktail,grasshopper,,
beverage,alcohol,mixed drink,cocktail,Harvey Wallbanger,,
beverage,alcohol,mixed drink,cocktail,manhattan,Rob Roy,
beverage,alcohol,mixed drink,cocktail,margarita,,
beverage,alcohol,mixed drink,cocktail,martini,vodka martini,
beverage,alcohol,mixed drink,cocktail,gin and it,,
beverage,alcohol,mixed drink,cocktail,old fashioned,,
beverage,alcohol,mixed drink,cocktail,pink lady,,
beverage,alcohol,mixed drink,cocktail,Sazerac,,
beverage,alcohol,mixed drink,cocktail,screwdriver,,
beverage,alcohol,mixed drink,cocktail,sidecar,,
beverage,alcohol,mixed drink,cocktail,sour,whiskey sour,
beverage,alcohol,mixed drink,cocktail,stinger,,
beverage,alcohol,mixed drink,cocktail,planter's punch,,
beverage,alcohol,mixed drink,cocktail,White Russian,,
beverage,alcohol,mixed drink,Dom Pedro,,,
beverage,alcohol,mixed drink,highball,cobbler,,
beverage,alcohol,mixed drink,highball,collins,,
beverage,alcohol,mixed drink,highball,gin and tonic,,
beverage,alcohol,mixed drink,highball,julep,,
beverage,alcohol,mixed drink,highball,Scotch and soda,,
beverage,alcohol,mixed drink,highball,sling,brandy sling,
beverage,alcohol,mixed drink,highball,sling,gin sling,
beverage,alcohol,mixed drink,highball,sling,rum sling,
beverage,alcohol,mixed drink,highball,zombie,,
beverage,alcohol,mixed drink,spritzer,,,
beverage,alcohol,mixed drink,flip,,,
beverage,alcohol,mixed drink,swizzle,,,
beverage,alcohol,mixed drink,hot toddy,Tom and Jerry,,
beverage,alcohol,mixed drink,mimosa,,,
beverage,alcohol,mixed drink,pina colada,,,
beverage,alcohol,mixed drink,punch,fruit punch,,
beverage,alcohol,mixed drink,punch,milk punch,,
beverage,alcohol,mixed drink,punch,cup,champagne cup,
beverage,alcohol,mixed drink,punch,cup,claret cup,
beverage,alcohol,mixed drink,punch,wassail,,
beverage,alcohol,mixed drink,punch,fish house punch,,
beverage,alcohol,mixed drink,punch,May wine,,
beverage,alcohol,mixed drink,punch,eggnog,,
beverage,alcohol,mixed drink,punch,glogg,,
beverage,alcohol,mixed drink,rickey,gin rickey,,
beverage,alcohol,hard cider,,,,
beverage,alcohol,perry,,,,
beverage,alcohol,rotgut,,,,
beverage,alcohol,slug,,,,
beverage,alcohol,koumiss,,,,
beverage,hydromel,,,,,
beverage,oenomel,,,,,
beverage,near beer,,,,,
beverage,ginger beer,,,,,
beverage,mixer,,,,,
beverage,cooler,,,,,
beverage,refresher,,,,,
beverage,smoothie,,,,,
beverage,fizz,,,,,
beverage,cider,hard cider,,,,
beverage,cider,scrumpy,,,,
beverage,cider,sweet cider,mulled cider,,,
beverage,cocoa,,,,,
beverage,fruit juice,nectar,,,,
beverage,fruit juice,apple juice,,,,
beverage,fruit juice,cranberry juice,,,,
beverage,fruit juice,grape juice,must,,,
beverage,fruit juice,grapefruit juice,,,,
beverage,fruit juice,orange juice,frozen orange juice,,,
beverage,fruit juice,pineapple juice,,,,
beverage,fruit drink,lemonade,,,,
beverage,fruit drink,limeade,,,,
beverage,fruit drink,orangeade,,,,
beverage,mate,,,,,
beverage,soft drink,pop,,,,
beverage,soft drink,birch beer,,,,
beverage,soft drink,bitter lemon,,,,
beverage,soft drink,cola,Coca Cola,,,
beverage,soft drink,cola,Pepsi,,,
beverage,soft drink,cream soda,,,,
beverage,soft drink,egg cream,,,,
beverage,soft drink,ginger ale,,,,
beverage,soft drink,orange soda,,,,
beverage,soft drink,phosphate,,,,
beverage,soft drink,root beer,,,,
beverage,soft drink,sarsaparilla,,,,
beverage,soft drink,tonic,,,,
beverage,coffee,coffee substitute,chicory,,,
beverage,coffee,coffee substitute,Postum,,,
beverage,coffee,Irish coffee,,,,
beverage,coffee,cafe au lait,,,,
beverage,coffee,cafe noir,,,,
beverage,coffee,decaffeinated coffee,,,,
beverage,coffee,drip coffee,,,,
beverage,coffee,espresso,caffe latte,,,
beverage,coffee,cappuccino,,,,
beverage,coffee,iced coffee,,,,
beverage,coffee,instant coffee,,,,
beverage,coffee,mocha,,,,
beverage,coffee,Turkish coffee,,,,
beverage,coffee,cafe royale,,,,
beverage,tea,cambric tea,,,,
beverage,tea,cuppa,,,,
beverage,tea,herb tea,tisane,camomile tea,,
beverage,tea,ice tea,,,,
beverage,tea,sun tea,,,,
beverage,tea-like drink,,,,,
beverage,drinking water,bottled water,,,,
beverage,drinking water,sugar water,,,,
beverage,drinking water,ice water,,,,
beverage,drinking water,soda water,,,,
beverage,drinking water,mineral water,seltzer,,,
beverage,drinking water,mineral water,Vichy water,,,
beverage,drinking water,mineral water,lithia water,,,
